"","id","cantonName","council","firstName","lastName","party","active","birthDate","gender","language","maritalStatus","militaryGrade","partyId","salutationLetter","workLanguage"
"1",1,"VD","N","Pierre","Aguet","SP",FALSE,"1938-03-02T00:00:00Z","m","fr","verheiratet","Fourier",12,"Herr","fr"
"2",10,"ZH","N","Peter","Baumberger","CVP",FALSE,"1942-09-03T00:00:00Z","m","de","verheiratet","Hauptmann",14,"Herr","de"
"3",100,"BL","N","Hans Rudolf","Gysin","FDP-Liberale",FALSE,"1940-12-29T00:00:00Z","m","de","verheiratet",NA,15,"Herr","de"
"4",101,"ZH","N","Barbara","Haering",NA,FALSE,"1953-09-20T00:00:00Z","f","de",NA,NA,NA,"Frau","de"
"5",102,"BE","N","Rudolf","Hafner",NA,FALSE,"1951-12-27T00:00:00Z","m",NA,NA,NA,NA,"Herr","de"
"6",103,"SH","N","Ursula","Hafner","SP",FALSE,"1943-06-10T00:00:00Z","f","de","verheiratet",NA,12,"Frau","de"
"7",1039,"SZ","N","Hans","Steiner",NA,FALSE,"1884-01-07T00:00:00Z","m","de",NA,NA,NA,"Herr",NA
"8",104,"BE","N","Gret","Haller",NA,FALSE,"1947-10-01T00:00:00Z","f","de",NA,NA,NA,"Frau","de"
"9",105,"GR","N","Andrea","Hämmerle","SP",FALSE,"1946-11-09T00:00:00Z","m","de","verheiratet",NA,12,"Herr","de"
"10",1059,"LU","N","Franz","Brun",NA,FALSE,"1943-06-18T00:00:00Z","m","de","verheiratet",NA,NA,"Herr","de"
"11",106,"BE","N","Fritz","Hari",NA,FALSE,"1928-02-18T00:00:00Z","m","de",NA,NA,NA,"Herr","de"
"12",1065,"GE","N","Ueli","Leuenberger","GPS",TRUE,"1952-03-26T00:00:00Z","m","fr",NA,"Gefreiter",20,"Herr Nationalrat","fr"
"13",107,"ZH","S","Trix","Heberlein",NA,FALSE,"1942-07-17T00:00:00Z","f","de","verheiratet",NA,NA,"Frau","de"
"14",1071,"AG","N","Ruth","Humbel","CVP",TRUE,"1957-07-23T00:00:00Z","f","de","verheiratet",NA,14,"Frau Nationalrätin","de"
"15",108,"ZH","N","Rolf","Hegetschweiler",NA,FALSE,"1937-12-03T00:00:00Z","m","de","verheiratet","Soldat",NA,"Herr","de"
"16",109,"ZH","N","Andreas","Herczog",NA,FALSE,"1947-02-11T00:00:00Z","m","hu",NA,NA,NA,"Herr","de"
"17",11,"BE","N","Ursula","Bäumlin",NA,FALSE,"1938-05-12T00:00:00Z","f","de","verheiratet",NA,NA,"Frau","de"
"18",110,"TG","N","Otto","Hess","SVP",FALSE,"1935-03-18T00:00:00Z","m","de","verheiratet",NA,13,"Herr","de"
"19",1103,"UR","N","Gabi","Huber","FDP-Liberale",TRUE,"1956-02-29T00:00:00Z","f","de",NA,NA,15,"Frau Nationalrätin","de"
"20",1104,"SG","N","Jakob","Büchler","CVP",TRUE,"1952-05-29T00:00:00Z","m","de","verheiratet","Gefreiter",14,"Herr Nationalrat","de"
"21",1105,"TI","N","Attilio","Bignasca","Lega",FALSE,"1943-11-01T00:00:00Z","m","it",NA,NA,23,"Herr","fr"
"22",1106,"TG","S","Brigitte","Häberli-Koller","CVP",TRUE,"1958-08-23T00:00:00Z","f","de","verheiratet",NA,14,"Frau Ständerätin","de"
"23",1107,"JU","S","Madeleine","Amgwerd",NA,FALSE,"1946-08-01T00:00:00Z","f","fr","verheiratet",NA,NA,"Frau","fr"
"24",1108,"VD","N","Guy","Parmelin","SVP",TRUE,"1959-11-09T00:00:00Z","m","fr","verheiratet","Korporal",13,"Herr Nationalrat","fr"
"25",1109,"ZG","N","Gerhard","Pfister","CVP",TRUE,"1962-10-01T00:00:00Z","m","de","verheiratet",NA,14,"Herr Nationalrat","de"
"26",111,"ZG","N","Peter","Hess",NA,FALSE,"1948-05-14T00:00:00Z","m","de","verheiratet","Major",NA,"Herr","de"
"27",1110,"ZH","N","Daniel","Vischer","GPS",TRUE,"1950-01-16T00:00:00Z","m","de","verheiratet",NA,20,"Herr Nationalrat","de"
"28",1111,"LU","N","Felix","Müri","SVP",TRUE,"1958-01-22T00:00:00Z","m","de","verheiratet","Gefreiter",13,"Herr Nationalrat","de"
"29",1112,"AG","N","Geri","Müller","GPS",TRUE,"1960-10-27T00:00:00Z","m","de",NA,NA,20,"Herr Nationalrat","de"
"30",1113,"ZH","N","Filippo","Leutenegger","FDP-Liberale",FALSE,"1952-11-25T00:00:00Z","m","de","verheiratet","Fachoffizier",15,"Herr","de"
"31",1114,"AR","N","Marianne","Kleiner","FDP-Liberale",FALSE,"1947-05-29T00:00:00Z","f","de","verheiratet",NA,15,"Frau","de"
"32",1115,"GE","N","André","Reymond","SVP",FALSE,"1940-01-07T00:00:00Z","m","fr","verheiratet",NA,13,"Herr","fr"
"33",1116,"NE","S","Didier","Burkhalter","FDP-Liberale",FALSE,"1960-04-17T00:00:00Z","m","fr","verheiratet","Fachoffizier",15,"Herr Bundesrat","fr"
"34",1117,"VS","N","Jean-René","Germanier","FDP-Liberale",TRUE,"1958-12-18T00:00:00Z","m","fr",NA,"Korporal",15,"Herr Nationalrat","fr"
"35",1118,"LU","N","Otto","Ineichen","FDP-Liberale",FALSE,"1941-06-08T00:00:00Z","m","de","verheiratet","Soldat",15,"Herr Nationalrat","de"
"36",1119,"FR","N","Jean-François","Rime","SVP",TRUE,"1950-06-28T00:00:00Z","m","fr","verheiratet","Soldat",13,"Herr Nationalrat","fr"
"37",112,"VS","N","Franz-Joseph","Hildbrand",NA,FALSE,"1942-02-02T00:00:00Z","m","de",NA,NA,NA,"Herr","de"
"38",1120,"GE","N","Carlo","Sommaruga","SP",TRUE,"1959-07-08T00:00:00Z","m","fr",NA,NA,12,"Herr Nationalrat","fr"
"39",1121,"SG","N","Jasmin","Hutter-Hutter","SVP",FALSE,"1978-06-11T00:00:00Z","f","de","verheiratet",NA,13,"Frau","de"
"40",1122,"SO","N","Kurt","Fluri","FDP-Liberale",TRUE,"1955-08-19T00:00:00Z","m","de","verheiratet","Oberst",15,"Herr Nationalrat","de"
"41",1123,"VD","N","Pierre-François","Veillon","SVP",TRUE,"1950-04-30T00:00:00Z","m","fr","verheiratet",NA,13,"Herr Nationalrat","fr"
"42",1124,"FR","N","Dominique","de Buman","CVP",TRUE,"1956-04-28T00:00:00Z","m","fr",NA,"Hauptmann",14,"Herr Nationalrat","fr"
"43",1125,"ZH","N","Chantal","Galladé","SP",TRUE,"1972-12-17T00:00:00Z","f","de",NA,NA,12,"Frau Nationalrätin","de"
"44",1126,"ZH","N","Markus","Hutter","FDP-Liberale",FALSE,"1957-02-20T00:00:00Z","m","de","verheiratet","Hauptmann",15,"Herr","de"
"45",1127,"VS","N","Oskar","Freysinger","SVP",TRUE,"1960-06-12T00:00:00Z","m","fr","verheiratet","Gefreiter",13,"Herr Nationalrat","fr"
"46",1128,"ZH","N","Markus","Wäfler",NA,FALSE,"1948-12-21T00:00:00Z","m","de","verheiratet",NA,NA,"Herr","de"
"47",1129,"BS","N","Silvia","Schenker","SP",TRUE,"1954-01-17T00:00:00Z","f","de",NA,NA,12,"Frau Nationalrätin","de"
"48",113,"SG","N","Pia","Hollenstein","GPS",FALSE,"1950-09-13T00:00:00Z","f","de","ledig",NA,20,"Frau","de"
"49",1130,"SZ","N","Reto","Wehrli","CVP",FALSE,"1965-02-01T00:00:00Z","m","de","verheiratet",NA,14,"Herr","de"
"50",1131,"BE","N","Evi","Allemann","SP",TRUE,"1978-07-16T00:00:00Z","f","de",NA,NA,12,"Frau Nationalrätin","de"
"51",1132,"VS","N","Jean-Noël","Rey",NA,FALSE,"1949-12-23T00:00:00Z","m","fr","verheiratet",NA,NA,"Herr","fr"
"52",1133,"VS","N","Christophe","Darbellay","CVP",TRUE,"1971-03-07T00:00:00Z","m","fr","verheiratet","Gefreiter",14,"Herr Nationalrat","fr"
"53",1134,"VD","S","Luc","Recordon","GPS",TRUE,"1955-09-20T00:00:00Z","m","fr","ledig",NA,20,"Herr Ständerat","fr"
"54",1135,"BE","N","Adrian","Amstutz","SVP",TRUE,"1953-12-02T00:00:00Z","m","de","verheiratet","Gefreiter",13,"Herr Nationalrat","de"
"55",1136,"BL","N","Walter","Jermann",NA,FALSE,"1945-05-26T00:00:00Z","m","de","verheiratet","Adjutant Unteroffizier",NA,"Herr","de"
"56",1137,"SG","N","Walter","Müller","FDP-Liberale",TRUE,"1948-04-25T00:00:00Z","m","de","verheiratet","Oberleutnant",15,"Herr Nationalrat","de"
"57",1138,"ZH","N","Martin","Bäumle","glp",TRUE,"1964-06-03T00:00:00Z","m","de",NA,"Soldat",1336,"Herr Nationalrat","de"
"58",1139,"BE","N","Christa","Markwalder","FDP-Liberale",TRUE,"1975-07-27T00:00:00Z","f","de",NA,NA,15,"Frau Vizepräsidentin des Nationalrates","de"
"59",114,"BS","N","Helmut","Hubacher",NA,FALSE,"1926-04-15T00:00:00Z","m","de","verheiratet",NA,NA,"Herr","de"
"60",1140,"TI","N","Laura","Sadis","FDP-Liberale",FALSE,"1961-03-11T00:00:00Z","f","it",NA,NA,15,"Frau","de"
"61",1141,"AG","N","Philipp","Müller","FDP-Liberale",TRUE,"1952-09-05T00:00:00Z","m","de",NA,"Soldat",15,"Herr Nationalrat","de"
"62",1142,"SO","N","Walter","Wobmann","SVP",TRUE,"1957-11-21T00:00:00Z","m","de",NA,"Gefreiter",13,"Herr Nationalrat","de"
"63",1143,"GR","N","Sep","Cathomas","CVP",FALSE,"1945-04-02T00:00:00Z","m","rm","verheiratet","Oberleutnant",14,"Herr","de"
"64",1144,"GE","N","Martine","Brunschwig Graf","FDP-Liberale",FALSE,"1950-03-16T00:00:00Z","f","fr",NA,NA,15,"Frau","fr"
"65",1145,"NE","N","Yvan","Perrin","SVP",FALSE,"1966-12-09T00:00:00Z","m","fr","ledig","Korporal",13,"Herr","fr"
"66",1146,"VD","N","Marianne","Huguenin",NA,FALSE,"1950-05-01T00:00:00Z","f","fr","ledig",NA,NA,"Frau","fr"
"67",1147,"BE","N","Margret","Kiener Nellen","SP",TRUE,"1953-04-17T00:00:00Z","f","de","verheiratet",NA,12,"Frau Nationalrätin","de"
"68",1148,"VD","S","Géraldine","Savary","SP",TRUE,"1968-11-14T00:00:00Z","f","fr","verheiratet",NA,12,"Frau Ständerätin","fr"
